343,1018
456,1015
571,1011
685,1007
796,1005
907,1003
1018,1002
1129,1001
1239,1000
342,907
458,903
573,899
685,898
797,896
907,894
1018,893
1129,892
1239,891
343,795
459,791
573,789
685,788
797,786
1018,782
908,783
1128,782
1239,781
1810,919
346,681
572,680
459,680
684,677
796,675
907,674
1127,672
1017,673
1237,671
458,570
345,570
571,568
684,567
795,566
1017,564
907,565
1238,563
1127,563
456,457
794,456
682,456
570,456
343,458
905,455
1126,453
1016,454
1237,452
1015,346
904,346
793,346
1125,345
1236,344
681,346
569,344
456,345
342,345
452,237
566,236
337,236
903,235
792,236
1125,234
1014,235
680,235
1236,233
1015,120
903,121
791,121
452,121
565,120
337,120
1126,119
677,119
1238,118
1917,27
